117,372
121,374
124,375
128,376
133,378
139,379
144,380
150,381
155,382
161,382
167,383
173,383
179,384
186,384
192,384
198,383
204,383
211,383
216,382
222,381
227,380
233,380
237,379
242,377
246,376
250,375
254,373
257,372
260,369
259,364
259,360
258,355
257,350
256,344
254,339
253,335
252,330
250,326
249,323
248,319
244,317
241,316
238,315
235,315
232,314
225,314
223,313
219,313
213,313
208,312
202,312
197,312
194,312
189,312
185,312
183,312
180,312
176,312
172,312
169,312
164,313
161,313
156,313
152,314
148,314
142,315
137,315
134,316
131,317
128,318
127,322
125,325
124,329
123,332
122,335
122,338
121,340
120,343
119,346
119,349
118,351
118,355
117,357
117,362
116,365
116,368
116,370
117,372
