149,151
153,150
155,149
158,148
160,146
161,144
162,141
162,139
163,136
163,133
163,129
163,127
163,123
163,122
162,120
160,117
159,115
158,113
157,109
157,106
157,104
156,103
156,103
155,103
154,103
153,101
152,100
151,97
151,94
154,94
157,95
160,95
164,96
169,97
173,97
177,98
182,98
186,98
190,98
195,98
200,97
204,97
208,96
212,95
215,95
219,94
222,94
223,94
222,97
221,101
220,102
219,103
217,103
217,106
217,109
216,113
214,116
213,119
210,122
210,122
210,126
211,130
211,134
211,137
212,141
213,145
214,147
215,148
218,149
222,150
226,152
222,153
217,154
213,155
209,156
206,156
203,157
199,157
196,158
192,158
188,158
185,158
182,158
178,158
174,157
171,157
167,156
163,155
159,155
156,154
153,153
150,153
147,152
149,151
