218,95
214,95
211,96
208,96
204,97
200,97
197,98
194,98
190,98
187,98
183,98
180,98
177,98
174,97
171,97
168,97
165,96
162,96
158,95
155,95
152,94
151,94
150,91
150,88
150,86
150,83
151,81
153,79
154,80
154,77
153,75
153,72
153,69
153,66
153,63
154,60
154,57
155,54
157,50
158,47
160,45
162,43
165,41
167,39
170,38
174,36
178,35
182,35
187,35
191,35
198,36
202,37
204,38
208,40
211,43
214,46
217,50
219,55
220,59
220,63
221,67
220,72
220,75
220,80
221,79
223,80
223,81
224,85
224,86
224,89
223,94
221,94
218,95
